"Total molecules (including duplicates)","strain_185","strain_188","strain_189","strain_191","strain_48"
0,0,0,0,0,0
1,0.5562885,0.565387,0.566812,0.5712134999999999,0.549547
2,0.9318274999999999,0.9479814999999999,0.9497665,0.9575015,0.912686
3,1.2374399999999999,1.2591945,1.261271,1.271739,1.2040585
4,1.4988599999999999,1.5252934999999999,1.527693,1.5405309999999999,1.4502255
5,1.7286575,1.7590685,1.7618209999999999,1.776838,1.6641489999999999
6,1.9342335,1.968105,1.9712375,1.9882179999999998,1.8534644999999998
7,2.1205309999999997,2.1573945,2.1609635,2.1796705,2.0232115
8,2.2909515,2.330438,2.3344665,2.3547545,2.1769415
9,2.4480255,2.4898409999999997,2.4943489999999997,2.516117,2.317281
10,2.5937004999999997,2.637583,2.6425965,2.665758,2.4462395
11,2.7295115,2.77522,2.780767,2.8052284999999997,2.5653785
12,2.8566415,2.9040125,2.9101005,2.9357889999999998,2.675948
13,2.9761105,3.02498,3.0316229999999997,3.058478,2.7789829999999998
14,3.0887455,3.138979,3.1461794999999997,3.1741414999999997,2.8753284999999997
15,3.1952404999999997,3.246718,3.2544869999999997,3.2835075,2.9656905
16,3.2962,3.3488105,3.357147,3.3871815,3.0506819999999997
17,3.3921345,3.44577,3.4546699999999997,3.4856925,3.1308195
18,3.4834804999999998,3.5380759999999998,3.5475235,3.5794984999999997,3.2065514999999998
19,3.5706455,3.6261145,3.636106,3.6689835,3.278264
20,3.653968,3.710216,3.7207735,3.754504,3.3463045
21,3.7337395,3.790682,3.8017925,3.8363674999999997,3.410965
22,3.8102034999999996,3.867791,3.879428,3.91484,3.4725205
23,3.8836035,3.9417774999999997,3.9539454999999997,3.99017,3.5312029999999996
24,3.9541489999999997,4.0128585,4.0255395,4.0625715,3.587224
25,4.022029,4.0812195,4.0944259999999995,4.132238,3.6407754999999997
26,4.0874049999999995,4.1470305,4.1608,4.1993535,3.6920279999999996
27,4.15043,4.210474,4.2247984999999995,4.264075,3.7411325
28,4.2112704999999995,4.2717035,4.286568,4.326544,3.788233
29,4.2700555,4.3308365,4.3462415,4.386901,3.8334555
30,4.3268949999999995,4.387993499999999,4.4039525,4.445263499999999,3.8769199999999997
31,4.3818945,4.4432835,4.4597945,4.5017439999999995,3.9187285
32,4.4351565,4.4968105,4.5138679999999995,4.5564469999999995,3.9589749999999997
33,4.486774,4.5486699999999995,4.5662705,4.609463,3.9977604999999996
34,4.5368325,4.598946499999999,4.6170845,4.660877999999999,4.0351595
35,4.585411,4.647723,4.6663955,4.7107814999999995,4.0712494999999995
36,4.6325769999999995,4.695068,4.714274,4.7592415,4.106101499999999
37,4.6784064999999995,4.7410559999999995,4.760791,4.8063265,4.1397794999999995
38,4.7229575,4.785750999999999,4.80601,4.8521114999999995,4.172346
39,4.766284,4.8292125,4.849991,4.896644,4.2038585
40,4.80845,4.8714955,4.892793,4.93999,4.234367
41,4.849505,4.912655,4.9344684999999995,4.9821954999999996,4.2639165
42,4.8894969999999995,4.9527375,4.975059,5.0233165,4.2925555
43,4.9284704999999995,4.9917915,5.0146215,5.0633935,4.320326
44,4.966468,5.029864,5.0531915,5.1024765,4.3472715
45,5.0035229999999995,5.0669949999999995,5.090813,5.140598499999999,4.3734304999999996
46,5.0396795,5.103221,5.127527,5.1778065,4.398835
47,5.0749745,5.1385755,5.1633629999999995,5.2141315,4.4235169999999995
48,5.1094395,5.173092,5.198360999999999,5.24961,4.447512
49,5.1431119999999995,5.2068045,5.2325485,5.284273499999999,4.4708515
50,5.1760155,5.2397455,5.265960499999999,5.3181525,4.493569
51,5.208182,5.271932,5.298622,5.3512745,4.515682
52,5.2396395,5.3033905,5.3305584999999995,5.3836735,4.5372125
53,5.270413,5.33416,5.361803999999999,5.4153685,4.5581819999999995
54,5.300521,5.3642595,5.3923755,5.4463875,4.578619
55,5.329994999999999,5.3937145,5.422299,5.4767529999999995,4.59854
56,5.3588505,5.422548,5.451601999999999,5.5064885,4.617964
57,5.387112,5.450781,5.480301,5.5356155,4.636914
